timesec,time,cycle,sattrack,lat,lon,height,geoid,lakeid
630310172.762796,2019.973,53,34,38.939189,64.640839,240.142011562814,-36.4050166776,4610001882
630310172.812013,2019.973,53,34,38.936311,64.63991,240.051137957849,-36.4077627654,4610001882
630310172.861204,2019.973,53,34,38.933436,64.638982,240.010206346005,-36.4104508258,4610001882
630310172.910421,2019.973,53,34,38.930559,64.638054,240.367730900878,-36.4130950666,4610001882
630310172.959625,2019.973,53,34,38.927682,64.637126,240.241129027849,-36.4157128795,4610001882
630310173.008829,2019.973,53,34,38.924806,64.636198,240.13799637287,-36.4182937249,4610001882
630310173.058045,2019.973,53,34,38.921929,64.63527,240.056048028709,-36.4208306168,4610001882
630310173.107249,2019.973,53,34,38.919052,64.634342,240.057144287438,-36.4233121116,4610001882
630310173.156465,2019.973,53,34,38.916175,64.633414,240.381574910389,-36.4257279706,4610001882
630310173.205668,2019.973,53,34,38.913299,64.632486,240.257543212095,-36.4280815135,4610001882
630310173.254885,2019.973,53,34,38.910422,64.631558,240.136960011644,-36.4303835491,4610001882
630310173.304088,2019.973,53,34,38.907545,64.63063,240.045425845378,-36.4326346189,4610001882
630310173.353292,2019.973,53,34,38.904669,64.629703,240.072442222206,-36.4348362369,4610001882
630310173.402508,2019.973,53,34,38.901792,64.628775,240.375309743236,-36.436988994,4610001882
630310173.451712,2019.973,53,34,38.898915,64.627847,240.233927452867,-36.4390919397,4610001882
630310173.500915,2019.973,53,34,38.896039,64.62692,240.145983245284,-36.4411329733,4610001882
630310173.550132,2019.973,53,34,38.893162,64.625992,240.050882439707,-36.4431174038,4610001882
630310173.599335,2019.973,53,34,38.890285,64.625065,240.051836767269,-36.4450569674,4610001882
630310173.648551,2019.973,53,34,38.887408,64.624137,240.353553395699,-36.4469588319,4610001882
630310173.697755,2019.973,53,34,38.884531,64.62321,240.219744451252,-36.4488351235,4610001882
630310173.746958,2019.973,53,34,38.881655,64.622283,240.119908455252,-36.4506843687,4610001882
630310173.796175,2019.973,53,34,38.878778,64.621355,240.035721843693,-36.4524829932,4610001882
630310173.845378,2019.973,53,34,38.875901,64.620428,240.063896286232,-36.4542426718,4610001882
632642975.416471,2020.047,54,34,38.94415,64.639635,240.49995401327,-36.3962789551,4610001882
632642975.465675,2020.047,54,34,38.941274,64.638707,240.414040025948,-36.3990797266,4610001882
632642975.514866,2020.047,54,34,38.938398,64.63778,240.359606421938,-36.4018608814,4610001882
632642975.564082,2020.047,54,34,38.935521,64.636851,240.218430476091,-36.4045996995,4610001882
632642975.613274,2020.047,54,34,38.932645,64.635924,240.200096498898,-36.4072804811,4610001882
632642975.662465,2020.047,54,34,38.929769,64.634996,240.246125314179,-36.4099240552,4610001882
632642975.711669,2020.047,54,34,38.926893,64.634069,240.327726782962,-36.4125402828,4610001882
632642975.760874,2020.047,54,34,38.924016,64.633141,240.194189831122,-36.4151180949,4610001882
632642975.810065,2020.047,54,34,38.921141,64.632214,240.023604967559,-36.417647985,4610001882
632642975.859257,2020.047,54,34,38.918265,64.631286,240.195963878438,-36.4201216547,4610001882
632642975.908473,2020.047,54,34,38.915387,64.630359,239.47666176167,-36.422534307,4610001882
632642975.957664,2020.047,54,34,38.912512,64.629431,240.021897948593,-36.4248852476,4610001882
632642976.006855,2020.047,54,34,38.909636,64.628504,240.266689266262,-36.4271865227,4610001882
632642976.056057,2020.047,54,34,38.906759,64.627577,240.337160477481,-36.42943805,4610001882
632642976.10526,2020.047,54,34,38.903883,64.62665,240.324080378338,-36.4316382738,4610001882
632642976.203668,2020.047,54,34,38.89813,64.624795,240.113666942222,-36.4358854767,4610001882
632642976.252858,2020.047,54,34,38.895254,64.623869,240.197921655982,-36.4379205134,4610001882
632642976.302075,2020.047,54,34,38.892377,64.622941,240.407420478082,-36.4398996516,4610001882
632642976.351278,2020.047,54,34,38.8895,64.622014,240.230376131603,-36.4418356212,4610001882
632642976.400482,2020.047,54,34,38.886623,64.621088,240.08549807151,-36.4437378772,4610001882
632642976.449685,2020.047,54,34,38.883747,64.620161,239.988691610979,-36.4456117396,4610001882
632642976.548092,2020.047,54,34,38.877994,64.618307,240.219559936839,-36.4492407045,4610001882
634975775.668098,2020.121,55,34,38.941698,64.634448,240.123547162236,-36.3924820697,4610001882
634975775.717276,2020.121,55,34,38.938823,64.633521,240.279083644858,-36.3952726436,4610001882
634975775.766454,2020.121,55,34,38.935948,64.632594,240.322882765802,-36.3980258558,4610001882
634975775.815633,2020.121,55,34,38.933073,64.631667,240.38652606863,-36.4007232499,4610001882
634975775.864811,2020.121,55,34,38.930197,64.630741,240.377233672258,-36.4033849636,4610001882
634975776.012345,2020.121,55,34,38.921571,64.62796,240.454072155129,-36.4111770945,4610001882
634975776.061522,2020.121,55,34,38.918696,64.627034,240.39085431278,-36.4136789207,4610001882
634975776.1107,2020.121,55,34,38.915821,64.626107,240.237269638548,-36.416113915,4610001882
634975776.159878,2020.121,55,34,38.912945,64.62518,240.234728084751,-36.4184920366,4610001882
634975776.209056,2020.121,55,34,38.91007,64.624254,240.530334042627,-36.420817663,4610001882
634975776.258234,2020.121,55,34,38.907195,64.623328,240.346088285773,-36.4230915747,4610001882
634975776.35659,2020.121,55,34,38.901444,64.621475,240.204342623549,-36.4274852564,4610001882
634975776.405768,2020.121,55,34,38.898569,64.620549,240.108940132602,-36.429602434,4610001882
634975776.454946,2020.121,55,34,38.895693,64.619622,240.338573351733,-36.4316553285,4610001882
634975776.504124,2020.121,55,34,38.892818,64.618696,240.266249856367,-36.4336515017,4610001882
634975776.553303,2020.121,55,34,38.889943,64.61777,240.157878886638,-36.4356002005,4610001882
637308573.622284,2020.195,56,34,38.9465,64.642705,240.162285352045,-36.3972342642,4610001882
637308573.671462,2020.195,56,34,38.943625,64.641776,240.318860422314,-36.4000290047,4610001882
637308573.72064,2020.195,56,34,38.94075,64.640848,240.456831755901,-36.4028200085,4610001882
637308573.769818,2020.195,56,34,38.937875,64.63992,240.337578490167,-36.405586413,4610001882
637308573.818996,2020.195,56,34,38.935,64.638993,240.244582247759,-36.4083098408,4610001882
637308573.868174,2020.195,56,34,38.932125,64.638065,240.170625483128,-36.4109727464,4610001882
637308573.917352,2020.195,56,34,38.929249,64.637137,240.270339191571,-36.4136061319,4610001882
637308573.96653,2020.195,56,34,38.926374,64.636209,240.467721054237,-36.4162076648,4610001882
637308574.015708,2020.195,56,34,38.923499,64.635281,240.35387551528,-36.4187692347,4610001882
637308574.064886,2020.195,56,34,38.920624,64.634354,240.258208267134,-36.421282317,4610001882
637308574.114065,2020.195,56,34,38.917749,64.633426,240.17587946717,-36.4237338475,4610001882
637308574.163243,2020.195,56,34,38.914873,64.632499,240.356887400471,-36.4261221044,4610001882
637308574.212422,2020.195,56,34,38.911998,64.631571,240.488637743209,-36.4284527776,4610001882
637308574.261601,2020.195,56,34,38.909123,64.630644,240.372237596464,-36.4307329613,4610001882
637308574.310779,2020.195,56,34,38.906248,64.629717,240.270687130343,-36.4329628256,4610001882
637308574.359958,2020.195,56,34,38.903372,64.628789,240.18688727272,-36.4351432916,4610001882
637308574.409136,2020.195,56,34,38.900497,64.627862,240.178238950464,-36.4372752998,4610001882
637308574.458314,2020.195,56,34,38.897622,64.626935,240.513035491125,-36.4393521709,4610001882
637308574.507479,2020.195,56,34,38.894747,64.626008,240.382270176465,-36.4413671867,4610001882
637308574.556658,2020.195,56,34,38.891872,64.625081,240.290553007815,-36.4433303485,4610001882
637308574.605836,2020.195,56,34,38.888997,64.624154,240.213993960859,-36.445251632,4610001882
637308574.655014,2020.195,56,34,38.886122,64.623227,240.148202636321,-36.4471406379,4610001882
637308574.704192,2020.195,56,34,38.883246,64.6223,240.539989316917,-36.4490076421,4610001882
637308574.75337,2020.195,56,34,38.880371,64.621373,240.397635910769,-36.4508345664,4610001882
637308574.851726,2020.195,56,34,38.87462,64.61952,240.204700655012,-36.4543599647,4610001882
639641379.613597,2020.268,57,34,38.944643,64.637466,240.532169657559,-36.3925242195,4610001882
639641379.712006,2020.268,57,34,38.93889,64.635609,240.333704627391,-36.398119827,4610001882
639641379.761197,2020.268,57,34,38.936014,64.634682,240.277577088727,-36.4008726106,4610001882
639641379.810389,2020.268,57,34,38.933138,64.633754,240.276290329366,-36.4035661735,4610001882
639641379.85958,2020.268,57,34,38.930263,64.632826,240.611660434466,-36.4062166077,4610001882
639641379.908783,2020.268,57,34,38.927386,64.631898,240.448108701839,-36.4088451905,4610001882
639641379.957974,2020.268,57,34,38.92451,64.630971,240.339022891085,-36.411439702,4610001882
639641380.007165,2020.268,57,34,38.921634,64.630043,240.257392152807,-36.4139885694,4610001882
639641380.056368,2020.268,57,34,38.918758,64.629116,240.713912230736,-36.416484051,4610001882
639641380.105558,2020.268,57,34,38.915882,64.628188,239.923966031661,-36.4189132556,4610001882
639641380.154749,2020.268,57,34,38.913006,64.627261,240.459262801798,-36.4212854294,4610001882
639641380.20394,2020.268,57,34,38.91013,64.626334,240.582006947029,-36.4236049783,4610001882
639641380.253131,2020.268,57,34,38.907254,64.625406,240.344698246074,-36.425871681,4610001882
639641380.400716,2020.268,57,34,38.898626,64.622625,240.564169714865,-36.4323693608,4610001882
639641380.449906,2020.268,57,34,38.89575,64.621698,241.077944396699,-36.4344194463,4610001882
639641380.49911,2020.268,57,34,38.892874,64.620771,240.905162441522,-36.4364128948,4610001882
639641380.548301,2020.268,57,34,38.889998,64.619844,240.258333514758,-36.4383593717,4610001882
639641380.597492,2020.268,57,34,38.887122,64.618917,240.182666906785,-36.4402681674,4610001882
641974182.670144,2020.342,58,34,38.939702,64.632616,240.613904640325,-36.3927417933,4610001882
641974182.719349,2020.342,58,34,38.936825,64.631689,240.648123434005,-36.3955147205,4610001882
641974182.768565,2020.342,58,34,38.933948,64.630761,240.715090933971,-36.398236354,4610001882
641974182.817756,2020.342,58,34,38.931072,64.629833,240.702906433964,-36.4009059687,4610001882
641974183.014557,2020.342,58,34,38.919567,64.626123,240.578860953061,-36.4112696868,4610001882
641974183.063749,2020.342,58,34,38.916691,64.625196,240.502691711167,-36.413729961,4610001882
641974183.112965,2020.342,58,34,38.913814,64.624269,240.191061255794,-36.416129032,4610001882
641974183.162156,2020.342,58,34,38.910938,64.623342,240.684676553588,-36.4184738459,4610001882
641974183.21136,2020.342,58,34,38.908061,64.622414,240.711239605632,-36.4207664243,4610001882
641974183.309767,2020.342,58,34,38.902308,64.62056,240.573412075655,-36.4251979368,4610001882
641974183.35897,2020.342,58,34,38.899432,64.619633,240.472019201157,-36.4273345784,4610001882
641974183.408174,2020.342,58,34,38.896555,64.618706,240.481864562075,-36.4294094657,4610001882
641974183.457365,2020.342,58,34,38.893679,64.61778,240.324849995074,-36.4314244148,4610001882
641974183.506581,2020.342,58,34,38.890802,64.616852,240.520183109818,-36.4333870559,4610001882
644306982.333235,2020.416,59,34,38.944633,64.636879,240.430711248199,-36.3917112157,4610001882
644306982.431604,2020.416,59,34,38.938882,64.635024,240.566478742938,-36.3973082204,4610001882
644306982.480794,2020.416,59,34,38.936006,64.634097,240.475517384678,-36.4000616197,4610001882
644306982.529973,2020.416,59,34,38.93313,64.63317,240.937098132342,-36.4027571249,4610001882
644306982.57915,2020.416,59,34,38.930255,64.632243,241.648737216533,-36.4054109615,4610001882
644306982.628341,2020.416,59,34,38.927379,64.631315,240.687651994577,-36.4080404971,4610001882
644306982.72671,2020.416,59,34,38.921628,64.629461,240.419370475212,-36.4131884877,4610001882
644306982.775901,2020.416,59,34,38.918752,64.628534,240.427953333562,-36.4156861036,4610001882
644306982.825092,2020.416,59,34,38.915876,64.627607,240.716471147126,-36.4181186747,4610001882
644306982.874283,2020.416,59,34,38.913,64.62668,240.588030562279,-36.4204928474,4610001882
644306982.923473,2020.416,59,34,38.910124,64.625754,240.473038721332,-36.422815764,4610001882
644306982.972651,2020.416,59,34,38.907249,64.624827,240.384092730811,-36.4250845259,4610001882
644306983.120212,2020.416,59,34,38.898621,64.622047,240.527300198068,-36.4315881761,4610001882
644306983.169391,2020.416,59,34,38.895746,64.621121,240.42525656498,-36.4336396258,4610001882
644306983.218582,2020.416,59,34,38.89287,64.620194,240.404255966105,-36.435634108,4610001882
644306983.267761,2020.416,59,34,38.889995,64.619268,240.723808456337,-36.437581681,4610001882
644306983.31694,2020.416,59,34,38.887119,64.618342,240.593324141161,-36.4394924469,4610001882
646639781.311687,2020.49,60,34,38.944417,64.638191,240.629487679812,-36.3938681871,4610001882
646639781.360865,2020.49,60,34,38.941542,64.637264,234.395448090935,-36.3966728532,4610001882
646639781.410043,2020.49,60,34,38.938666,64.636337,233.29649076886,-36.3994598015,4610001882
646639781.459222,2020.49,60,34,38.935791,64.63541,235.348692909004,-36.4022061966,4610001882
